X1,X2,yval,y
-0.3530623458334412,-0.6739018129665528,0,0
-0.22712580445463926,0.44731975952748404,1,1
0.09289766828398782,-0.7535241916534504,0,0
0.14824251868729887,-0.7184730787207401,0,0
-0.001512492371361196,0.16292786203187826,0,0
0.04533501373622162,0.20982573210239708,0,0
0.14434612767498267,-0.6872075372137918,0,0
-0.13807064015911868,0.5524173230518026,1,1
-0.163859517674095,0.11134314169286896,1,1
-0.19535742308716786,0.4011456977942751,1,1
0.18634049708309097,0.5218623361812758,1,1
-0.49340321292863204,0.06007881571870899,1,1
-0.09185270263050471,-0.12178156097196113,0,0
-0.10428124063188515,-0.5455798763663557,0,0
-0.20888058187794378,0.15980216975057882,1,1
0.24239324534301898,-0.4447684071384007,0,0
0.1498625163175984,-0.10482910867264561,0,0
-0.49949385810446,0.01644946228942301,1,1
0.1470870299818431,0.17669484750860442,0,0
-0.20265486747735167,-0.18450312300503224,0,0
0.09335189166750557,-0.08481748118038701,0,0
0.11339545386598726,0.20626961195976623,0,0
0.2515212869494623,-0.24962123936134006,0,0
-0.07166736724679773,0.3802784372263821,1,1
0.18055064208161042,-0.4984524195398981,0,0
-0.18110124018267149,-0.7543908022924432,0,0
0.27785388710809666,0.2484437235530541,0,0
-0.013270918147998023,-0.48747144858368985,0,0
-0.015021069088203276,0.36967341866721637,1,1
-0.0030869071804354165,0.21570427997255726,0,0
0.21411490360557484,0.45176319662837305,0,0
0.04526842003438325,-0.6235064783815233,0,0
-0.13417061596909413,-0.7504224117523898,0,0
-0.055192833019950926,-0.08569443093442686,0,0
-0.4564296229001604,0.3045734266223725,1,1
-0.4493093793695467,0.25213950497742466,1,1
-0.33460047460789843,0.2810896714405744,1,1
0.14155287744573652,-0.6873563804218508,0,0
-0.2478837893345367,-0.44652463695307043,0,0
-0.048672482756502045,-0.7948161385602274,0,0
-0.19644303602674168,-0.6094951208620023,0,0
-0.49903366213483824,-0.4837805120500307,1,1
-0.04108153266775988,-0.33717187244720226,0,0
-0.28101764350380787,-0.02116390671286006,0,0
-0.1756488977309183,-0.16079769387979193,0,0
-0.46788725582108565,-0.03606063919813829,1,1
-0.41606452047103604,0.5092381075505343,1,1
0.2909193831121004,0.0028181745856467044,0,0
0.022191316051987764,0.10162395867691632,0,0
-0.4215856735690906,0.3902724287711692,1,1
0.13127010182692822,-0.19991087695749976,0,0
-0.41008227992788376,-0.6728040655786355,1,1
-0.3555371657686696,0.2773165939995723,1,1
-0.35760857203568824,0.5217038805381937,1,1
-0.3057157111241177,0.38303523063103895,1,1
-0.026072855092712732,0.371250262637955,1,1
-0.11757220535555013,-0.028814623220180913,1,1
-0.2414978614822485,-0.045823532026120994,1,1
-0.1803341296779452,0.006288847469051784,1,1
0.2639283328688915,-0.1992011508396727,1,1
-0.32814336943379185,-0.6282848550773351,0,0
-0.29850456481744814,-0.7199303248218192,0,0
-0.11643577151742385,-0.4154851512452428,0,0
-0.4678034615311729,-0.11866615165769057,1,1
0.06911926915224176,-0.519057341363275,0,0
-0.042715034062694335,0.33006558430071054,1,1
-0.33850949627052296,0.07544364211613563,1,1
-0.1609554336689628,0.1553253904129832,1,1
-0.07511389462157597,0.5272346248708368,1,1
-0.4293342795969636,-0.32823454506736965,0,0
-0.16383886711470613,0.5963614261003876,1,1
-0.45116397576580125,-0.36885501804206533,1,1
0.0477326012716337,0.08964545648908662,0,0
-0.20718875118248758,0.029607996948573634,1,1
0.1299974293337708,-0.7614435680479636,0,0
-0.17031431074950376,0.2602442790644992,1,1
0.16669775731313852,-0.6618043178691155,0,0
0.10966867548192016,-0.02214622566461588,0,0
0.029527132544483914,0.12055069533163387,0,0
-0.38108519274047675,-0.6806667916116361,1,1
-0.03730684084802127,-0.16967072688487295,0,0
0.238637063003856,-0.3397918493880428,0,0
0.17940640149086884,0.36614805899947545,0,0
-0.4454136847023332,0.48773358115173493,1,1
-0.13173943848004938,-0.37301885140299196,0,0
0.25816652540849205,0.32147649833520786,0,0
-0.17144474949209765,-0.054362930686152944,1,1
0.022352104631971015,0.4604478250521027,1,1
0.2175178040838348,-0.6483801530417846,0,0
0.16482247090373736,-0.5600930677330921,0,0
0.10561683115049147,-0.4735691664637509,0,0
